,div,season,div_season_home_acc
142,div6,2017-2018,0.6058823529411764
143,div6,2018-2019,0.5676470588235294
144,div6,2019-2020,0.5941422594142259
145,div6,2020-2021,0.5970588235294118
146,div6,2021-2022,0.6106194690265486
147,div7,2008-2009,0.611764705882353
148,div7,2009-2010,0.6112759643916914
149,div7,2010-2011,0.625748502994012
150,div7,2011-2012,0.5764705882352941
151,div7,2012-2013,0.6124260355029586
152,div7,2013-2014,0.6411764705882353
153,div7,2014-2015,0.5650887573964497
154,div7,2015-2016,0.6088235294117647
155,div7,2016-2017,0.6755162241887905
156,div7,2017-2018,0.672566371681416
157,div7,2018-2019,0.6460176991150443
158,div7,2019-2020,0.6558823529411765
159,div7,2020-2021,0.6775147928994083
160,div7,2021-2022,0.6261127596439169
161,div8,2008-2009,0.5637254901960784
162,div8,2009-2010,0.5735294117647058
163,div8,2010-2011,0.6519607843137255
164,div8,2011-2012,0.6089108910891089
165,div8,2012-2013,0.5073891625615764
166,div8,2013-2014,0.6305418719211823
167,div8,2014-2015,0.6206896551724138
168,div8,2015-2016,0.5172413793103449
169,div8,2016-2017,0.6157635467980296
170,div8,2017-2018,0.6386138613861386
171,div8,2018-2019,0.6666666666666666
172,div8,2019-2020,0.6451612903225806
173,div8,2020-2021,0.7114427860696517
174,div8,2021-2022,0.6225490196078431
175,div9,2008-2009,0.6176470588235294
176,div9,2009-2010,0.6264705882352941
177,div9,2010-2011,0.6588235294117647
178,div9,2011-2012,0.5911764705882353
179,div9,2012-2013,0.6194690265486725
180,div9,2013-2014,0.6088235294117647
181,div9,2014-2015,0.6705882352941176
182,div9,2015-2016,0.6176470588235294
183,div9,2016-2017,0.6617647058823529
184,div9,2017-2018,0.6
185,div9,2018-2019,0.6047197640117994
186,div9,2019-2020,0.611764705882353
187,div9,2020-2021,0.6447761194029851
188,div9,2021-2022,0.6153846153846154
